DMA,retail_month,gross_bookings
saint louis,8/1/18,2440
buffalo,4/1/19,2440
cedar rapids-waterloo-dubuque,9/1/18,2440
charlottesville,10/1/18,2421
"charleston, sc",8/1/18,2390
fort wayne,4/1/19,2390
davenport-rock island-moline,12/1/18,2390
san antonio,8/1/18,2390
topeka,3/1/19,2390
south bend-elkhart,8/1/18,2390
cedar rapids-waterloo-dubuque,11/1/18,2390
kansas city,1/1/19,2390
grand rapids-kalamazoo-battle creek,10/1/18,2390
greenville-spartanburg-asheville,4/1/19,2390
lansing,10/1/18,2390
montgomery,3/1/19,2390
fort smith-fay-sprngdl,5/1/19,2370
santa barbara-san mar-san luis obispo,12/1/18,2357
des moines-ames,9/1/18,2335
